
Xzone.exe:     file format pei-x86-64


Disassembly of section .text:

0000000000401000 <__mingw_invalidParameterHandler>:
  401000:	c3                   	retq   
  401142:	48 8d 15 d7 5e 00 00 	lea    0x5ed7(%rip),%rdx        # 407020 <argv>
  401149:	48 8d 0d d8 5e 00 00 	lea    0x5ed8(%rip),%rcx        # 407028 <argc>
  401150:	8b 00                	mov    (%rax),%eax
  401152:	89 05 ac 5e 00 00    	mov    %eax,0x5eac(%rip)        # 407004 <startinfo>
  401158:	48 8d 05 a5 5e 00 00 	lea    0x5ea5(%rip),%rax        # 407004 <startinfo>
  40115f:	48 89 44 24 20       	mov    %rax,0x20(%rsp)
  401164:	48 8b 05 a5 32 00 00 	mov    0x32a5(%rip),%rax        # 404410 <.refptr._dowildcard>
  40116b:	44 8b 08             	mov    (%rax),%r9d
  40116e:	e8 f5 19 00 00       	callq  402b68 <__getmainargs>
  401173:	90                   	nop
  401174:	48 83 c4 38          	add    $0x38,%rsp
  401178:	c3                   	retq   
  401179:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)

0000000000401180 <__tmainCRTStartup>:
  401180:	41 55                	push   %r13
  401182:	41 54                	push   %r12
  401184:	55                   	push   %rbp
  401185:	57                   	push   %rdi
  401186:	56                   	push   %rsi
  401187:	53                   	push   %rbx
  401188:	48 81 ec 98 00 00 00 	sub    $0x98,%rsp
  40118f:	31 c0                	xor    %eax,%eax
  401191:	b9 0d 00 00 00       	mov    $0xd,%ecx
  401196:	48 8d 54 24 20       	lea    0x20(%rsp),%rdx
  40119b:	48 89 d7             	mov    %rdx,%rdi
  40119e:	f3 48 ab             	rep stos %rax,%es:(%rdi)
  4011a1:	48 8b 3d b8 32 00 00 	mov    0x32b8(%rip),%rdi        # 404460 <.refptr.mingw_app_type>
  4011a8:	44 8b 0f             	mov    (%rdi),%r9d
  4011ab:	45 85 c9             	test   %r9d,%r9d
  4011ae:	0f 85 bc 02 00 00    	jne    401470 <__tmainCRTStartup+0x2f0>
  4011b4:	65 48 8b 04 25 30 00 	mov    %gs:0x30,%rax
  4011bb:	00 00 
  4011bd:	48 8b 1d ec 31 00 00 	mov    0x31ec(%rip),%rbx        # 4043b0 <.refptr.__native_startup_lock>
  4011c4:	31 ed                	xor    %ebp,%ebp
  4011c6:	48 8b 70 08          	mov    0x8(%rax),%rsi
  4011ca:	4c 8b 25 a3 70 00 00 	mov    0x70a3(%rip),%r12        # 408274 <__imp_Sleep>
  4011d1:	eb 11                	jmp    4011e4 <__tmainCRTStartup+0x64>
  4011d3:	48 39 c6             	cmp    %rax,%rsi
  4011d6:	0f 84 34 02 00 00    	je     401410 <__tmainCRTStartup+0x290>
  4011dc:	b9 e8 03 00 00       	mov    $0x3e8,%ecx
  4011e1:	41 ff d4             	callq  *%r12
  4011e4:	48 89 e8             	mov    %rbp,%rax
  4011e7:	f0 48 0f b1 33       	lock cmpxchg %rsi,(%rbx)
  4011ec:	48 85 c0             	test   %rax,%rax
  4011ef:	75 e2                	jne    4011d3 <__tmainCRTStartup+0x53>
  4011f1:	48 8b 35 c8 31 00 00 	mov    0x31c8(%rip),%rsi        # 4043c0 <.refptr.__native_startup_state>
  4011f8:	31 ed                	xor    %ebp,%ebp
  4011fa:	8b 06                	mov    (%rsi),%eax
  4011fc:	83 f8 01             	cmp    $0x1,%eax
  4011ff:	0f 84 22 02 00 00    	je     401427 <__tmainCRTStartup+0x2a7>
  401205:	8b 06                	mov    (%rsi),%eax
  401207:	85 c0                	test   %eax,%eax
  401209:	0f 84 71 02 00 00    	je     401480 <__tmainCRTStartup+0x300>
  40120f:	c7 05 ef 5d 00 00 01 	movl   $0x1,0x5def(%rip)        # 407008 <has_cctor>
  401216:	00 00 00 
  401219:	8b 06                	mov    (%rsi),%eax
  40121b:	83 f8 01             	cmp    $0x1,%eax
  40121e:	0f 84 18 02 00 00    	je     40143c <__tmainCRTStartup+0x2bc>
  401224:	85 ed                	test   %ebp,%ebp
  401226:	0f 84 31 02 00 00    	je     40145d <__tmainCRTStartup+0x2dd>
  40122c:	48 8b 05 1d 31 00 00 	mov    0x311d(%rip),%rax        # 404350 <.refptr.__dyn_tls_init_callback>
  401233:	48 8b 00             	mov    (%rax),%rax
  401236:	48 85 c0             	test   %rax,%rax
  401239:	74 0c                	je     401247 <__tmainCRTStartup+0xc7>
  40123b:	45 31 c0             	xor    %r8d,%r8d
  40123e:	ba 02 00 00 00       	mov    $0x2,%edx
  401243:	31 c9                	xor    %ecx,%ecx
  401245:	ff d0                	callq  *%rax
  401247:	e8 94 0a 00 00       	callq  401ce0 <_pei386_runtime_relocator>
  40124c:	48 8d 0d dd 0f 00 00 	lea    0xfdd(%rip),%rcx        # 402230 <_gnu_exception_handler>
  401253:	ff 15 13 70 00 00    	callq  *0x7013(%rip)        # 40826c <__imp_SetUnhandledExceptionFilter>
  401259:	48 8b 15 40 31 00 00 	mov    0x3140(%rip),%rdx        # 4043a0 <.refptr.__mingw_oldexcpt_handler>
  401260:	48 89 02             	mov    %rax,(%rdx)
  401263:	e8 d8 0e 00 00       	callq  402140 <__mingw_init_ehandler>
  401268:	48 8d 0d 91 fd ff ff 	lea    -0x26f(%rip),%rcx        # 401000 <__mingw_invalidParameterHandler>
  40126f:	e8 3c 19 00 00       	callq  402bb0 <_set_invalid_parameter_handler>
  401274:	e8 67 08 00 00       	callq  401ae0 <_fpreset>
  401279:	48 8b 05 e0 30 00 00 	mov    0x30e0(%rip),%rax        # 404360 <.refptr.__image_base__>
  401280:	48 89 05 e1 66 00 00 	mov    %rax,0x66e1(%rip)        # 407968 <__mingw_winmain_hInstance>
  401287:	e8 34 19 00 00       	callq  402bc0 <__p__acmdln>
  40128c:	31 c9                	xor    %ecx,%ecx
  40128e:	48 8b 00             	mov    (%rax),%rax
  401291:	48 85 c0             	test   %rax,%rax
  401294:	75 1c                	jne    4012b2 <__tmainCRTStartup+0x132>
  401296:	eb 5f                	jmp    4012f7 <__tmainCRTStartup+0x177>
  401298:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
  40129f:	00 
  4012a0:	84 d2                	test   %dl,%dl
  4012a2:	74 2c                	je     4012d0 <__tmainCRTStartup+0x150>
  4012a4:	83 e1 01             	and    $0x1,%ecx
  4012a7:	74 27                	je     4012d0 <__tmainCRTStartup+0x150>
  4012a9:	b9 01 00 00 00       	mov    $0x1,%ecx
  4012ae:	48 83 c0 01          	add    $0x1,%rax
  4012b2:	0f b6 10             	movzbl (%rax),%edx
  4012b5:	80 fa 20             	cmp    $0x20,%dl
  4012b8:	7e e6                	jle    4012a0 <__tmainCRTStartup+0x120>
  4012ba:	41 89 c8             	mov    %ecx,%r8d
  4012bd:	41 83 f0 01          	xor    $0x1,%r8d
  4012c1:	80 fa 22             	cmp    $0x22,%dl
  4012c4:	41 0f 44 c8          	cmove  %r8d,%ecx
  4012c8:	eb e4                	jmp    4012ae <__tmainCRTStartup+0x12e>
  4012ca:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  4012d0:	84 d2                	test   %dl,%dl
  4012d2:	75 11                	jne    4012e5 <__tmainCRTStartup+0x165>
  4012d4:	eb 1a                	jmp    4012f0 <__tmainCRTStartup+0x170>
  4012d6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4012dd:	00 00 00 
  4012e0:	80 fa 20             	cmp    $0x20,%dl
  4012e3:	7f 0b                	jg     4012f0 <__tmainCRTStartup+0x170>
  4012e5:	48 83 c0 01          	add    $0x1,%rax
  4012e9:	0f b6 10             	movzbl (%rax),%edx
  4012ec:	84 d2                	test   %dl,%dl
  4012ee:	75 f0                	jne    4012e0 <__tmainCRTStartup+0x160>
  4012f0:	48 89 05 69 66 00 00 	mov    %rax,0x6669(%rip)        # 407960 <__mingw_winmain_lpCmdLine>
  4012f7:	44 8b 07             	mov    (%rdi),%r8d
  4012fa:	45 85 c0             	test   %r8d,%r8d
  4012fd:	74 16                	je     401315 <__tmainCRTStartup+0x195>
  4012ff:	f6 44 24 5c 01       	testb  $0x1,0x5c(%rsp)
  401304:	b8 0a 00 00 00       	mov    $0xa,%eax
  401309:	0f 85 f1 00 00 00    	jne    401400 <__tmainCRTStartup+0x280>
  40130f:	89 05 eb 1c 00 00    	mov    %eax,0x1ceb(%rip)        # 403000 <__data_start__>
  401315:	8b 1d 0d 5d 00 00    	mov    0x5d0d(%rip),%ebx        # 407028 <argc>
  40131b:	44 8d 63 01          	lea    0x1(%rbx),%r12d
  40131f:	4d 63 e4             	movslq %r12d,%r12
  401322:	49 c1 e4 03          	shl    $0x3,%r12
  401326:	4c 89 e1             	mov    %r12,%rcx
  401329:	e8 ca 17 00 00       	callq  402af8 <malloc>
  40132e:	85 db                	test   %ebx,%ebx
  401330:	48 8b 3d e9 5c 00 00 	mov    0x5ce9(%rip),%rdi        # 407020 <argv>
  401337:	48 89 c5             	mov    %rax,%rbp
  40133a:	7e 4b                	jle    401387 <__tmainCRTStartup+0x207>
  40133c:	8d 43 ff             	lea    -0x1(%rbx),%eax
  40133f:	31 db                	xor    %ebx,%ebx
  401341:	4c 8d 2c c5 08 00 00 	lea    0x8(,%rax,8),%r13
  401348:	00 
  401349:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
  401350:	48 8b 0c 1f          	mov    (%rdi,%rbx,1),%rcx
  401354:	e8 67 17 00 00       	callq  402ac0 <strlen>
  401359:	48 8d 70 01          	lea    0x1(%rax),%rsi
  40135d:	48 89 f1             	mov    %rsi,%rcx
  401360:	e8 93 17 00 00       	callq  402af8 <malloc>
  401365:	49 89 f0             	mov    %rsi,%r8
  401368:	48 89 44 1d 00       	mov    %rax,0x0(%rbp,%rbx,1)
  40136d:	48 8b 14 1f          	mov    (%rdi,%rbx,1),%rdx
  401371:	48 89 c1             	mov    %rax,%rcx
  401374:	48 83 c3 08          	add    $0x8,%rbx
  401378:	e8 73 17 00 00       	callq  402af0 <memcpy>
  40137d:	49 39 dd             	cmp    %rbx,%r13
  401380:	75 ce                	jne    401350 <__tmainCRTStartup+0x1d0>
  401382:	4a 8d 44 25 f8       	lea    -0x8(%rbp,%r12,1),%rax
  401387:	48 c7 00 00 00 00 00 	movq   $0x0,(%rax)
  40138e:	48 89 2d 8b 5c 00 00 	mov    %rbp,0x5c8b(%rip)        # 407020 <argv>
  401395:	e8 06 03 00 00       	callq  4016a0 <__main>
  40139a:	48 8b 05 cf 2f 00 00 	mov    0x2fcf(%rip),%rax        # 404370 <.refptr.__imp___initenv>
  4013a1:	48 8b 15 70 5c 00 00 	mov    0x5c70(%rip),%rdx        # 407018 <envp>
  4013a8:	8b 0d 7a 5c 00 00    	mov    0x5c7a(%rip),%ecx        # 407028 <argc>
  4013ae:	48 8b 00             	mov    (%rax),%rax
  4013b1:	48 89 10             	mov    %rdx,(%rax)
  4013b4:	4c 8b 05 5d 5c 00 00 	mov    0x5c5d(%rip),%r8        # 407018 <envp>
  4013bb:	48 8b 15 5e 5c 00 00 	mov    0x5c5e(%rip),%rdx        # 407020 <argv>
  4013c2:	e8 e7 01 00 00       	callq  4015ae <main>
  4013c7:	8b 0d 3f 5c 00 00    	mov    0x5c3f(%rip),%ecx        # 40700c <managedapp>
  4013cd:	89 05 3d 5c 00 00    	mov    %eax,0x5c3d(%rip)        # 407010 <mainret>
  4013d3:	85 c9                	test   %ecx,%ecx
  4013d5:	0f 84 c3 00 00 00    	je     40149e <__tmainCRTStartup+0x31e>
  4013db:	8b 15 27 5c 00 00    	mov    0x5c27(%rip),%edx        # 407008 <has_cctor>
  4013e1:	85 d2                	test   %edx,%edx
  4013e3:	75 0b                	jne    4013f0 <__tmainCRTStartup+0x270>
  4013e5:	e8 56 17 00 00       	callq  402b40 <_cexit>
  4013ea:	8b 05 20 5c 00 00    	mov    0x5c20(%rip),%eax        # 407010 <mainret>
  4013f0:	48 81 c4 98 00 00 00 	add    $0x98,%rsp
  4013f7:	5b                   	pop    %rbx
  4013f8:	5e                   	pop    %rsi
  4013f9:	5f                   	pop    %rdi
  4013fa:	5d                   	pop    %rbp
  4013fb:	41 5c                	pop    %r12
  4013fd:	41 5d                	pop    %r13
  4013ff:	c3                   	retq   
  401400:	0f b7 44 24 60       	movzwl 0x60(%rsp),%eax
  401405:	e9 05 ff ff ff       	jmpq   40130f <__tmainCRTStartup+0x18f>
  40140a:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
  401410:	48 8b 35 a9 2f 00 00 	mov    0x2fa9(%rip),%rsi        # 4043c0 <.refptr.__native_startup_state>
  401417:	bd 01 00 00 00       	mov    $0x1,%ebp
  40141c:	8b 06                	mov    (%rsi),%eax
  40141e:	83 f8 01             	cmp    $0x1,%eax
  401421:	0f 85 de fd ff ff    	jne    401205 <__tmainCRTStartup+0x85>
  401427:	b9 1f 00 00 00       	mov    $0x1f,%ecx
  40142c:	e8 17 17 00 00       	callq  402b48 <_amsg_exit>
  401431:	8b 06                	mov    (%rsi),%eax
  401433:	83 f8 01             	cmp    $0x1,%eax
  401436:	0f 85 e8 fd ff ff    	jne    401224 <__tmainCRTStartup+0xa4>
  40143c:	48 8b 15 9d 2f 00 00 	mov    0x2f9d(%rip),%rdx        # 4043e0 <.refptr.__xc_z>
  401443:	48 8b 0d 86 2f 00 00 	mov    0x2f86(%rip),%rcx        # 4043d0 <.refptr.__xc_a>
  40144a:	e8 e9 16 00 00       	callq  402b38 <_initterm>
  40144f:	85 ed                	test   %ebp,%ebp
  401451:	c7 06 02 00 00 00    	movl   $0x2,(%rsi)
  401457:	0f 85 cf fd ff ff    	jne    40122c <__tmainCRTStartup+0xac>
  40145d:	31 c0                	xor    %eax,%eax
  40145f:	48 87 03             	xchg   %rax,(%rbx)
  401462:	e9 c5 fd ff ff       	jmpq   40122c <__tmainCRTStartup+0xac>
  401467:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
  40146e:	00 00 
  401470:	48 89 d1             	mov    %rdx,%rcx
  401473:	ff 15 a3 6d 00 00    	callq  *0x6da3(%rip)        # 40821c <__imp_GetStartupInfoA>
  401479:	e9 36 fd ff ff       	jmpq   4011b4 <__tmainCRTStartup+0x34>
  40147e:	66 90                	xchg   %ax,%ax
  401480:	48 8b 15 79 2f 00 00 	mov    0x2f79(%rip),%rdx        # 404400 <.refptr.__xi_z>
  401487:	c7 06 01 00 00 00    	movl   $0x1,(%rsi)
  40148d:	48 8b 0d 5c 2f 00 00 	mov    0x2f5c(%rip),%rcx        # 4043f0 <.refptr.__xi_a>
  401494:	e8 9f 16 00 00       	callq  402b38 <_initterm>
  401499:	e9 7b fd ff ff       	jmpq   401219 <__tmainCRTStartup+0x99>
  40149e:	89 c1                	mov    %eax,%ecx
  4014a0:	e8 73 16 00 00       	callq  402b18 <exit>
  4014a5:	90                   	nop
  4014a6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4014ad:	00 00 00 

00000000004014b0 <WinMainCRTStartup>:
  4014b0:	48 83 ec 28          	sub    $0x28,%rsp

00000000004014b4 <.l_startw>:
  4014b4:	48 8b 05 a5 2f 00 00 	mov    0x2fa5(%rip),%rax        # 404460 <.refptr.mingw_app_type>
  4014bb:	c7 00 01 00 00 00    	movl   $0x1,(%rax)
  4014c1:	e8 1a 02 00 00       	callq  4016e0 <__security_init_cookie>
  4014c6:	e8 b5 fc ff ff       	callq  401180 <__tmainCRTStartup>
  4014cb:	90                   	nop

00000000004014cc <.l_endw>:
  4014cc:	90                   	nop
  4014cd:	48 83 c4 28          	add    $0x28,%rsp
  4014d1:	c3                   	retq   
  4014d2:	0f 1f 40 00          	nopl   0x0(%rax)
  4014d6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4014dd:	00 00 00 

00000000004014e0 <mainCRTStartup>:
  4014e0:	48 83 ec 28          	sub    $0x28,%rsp

00000000004014e4 <.l_start>:
  4014e4:	48 8b 05 75 2f 00 00 	mov    0x2f75(%rip),%rax        # 404460 <.refptr.mingw_app_type>
  4014eb:	c7 00 00 00 00 00    	movl   $0x0,(%rax)
  4014f1:	e8 ea 01 00 00       	callq  4016e0 <__security_init_cookie>
  4014f6:	e8 85 fc ff ff       	callq  401180 <__tmainCRTStartup>
  4014fb:	90                   	nop

00000000004014fc <.l_end>:
  4014fc:	90                   	nop
  4014fd:	48 83 c4 28          	add    $0x28,%rsp
  401501:	c3                   	retq   
  401502:	0f 1f 40 00          	nopl   0x0(%rax)
  401506:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40150d:	00 00 00 

0000000000401510 <atexit>:
  401510:	48 83 ec 28          	sub    $0x28,%rsp
  401514:	e8 17 16 00 00       	callq  402b30 <_onexit>
  401519:	48 85 c0             	test   %rax,%rax
  40151c:	0f 94 c0             	sete   %al
  40151f:	0f b6 c0             	movzbl %al,%eax
  401522:	f7 d8                	neg    %eax
  401524:	48 83 c4 28          	add    $0x28,%rsp
  401528:	c3                   	retq   
  401529:	90                   	nop
  40152a:	90                   	nop
  40152b:	90                   	nop
  40152c:	90                   	nop
  40152d:	90                   	nop
  40152e:	90                   	nop
  40152f:	90                   	nop

0000000000401530 <__gcc_register_frame>:
  401530:	48 8d 0d 09 00 00 00 	lea    0x9(%rip),%rcx        # 401540 <__gcc_deregister_frame>
  401537:	e9 d4 ff ff ff       	jmpq   401510 <atexit>
  40153c:	0f 1f 40 00          	nopl   0x0(%rax)

0000000000401540 <__gcc_deregister_frame>:
  401540:	c3                   	retq   
  401541:	90                   	nop
  401542:	90                   	nop
  401543:	90                   	nop
  401544:	90                   	nop
  401545:	90                   	nop
  401546:	90                   	nop
  401547:	90                   	nop
  401548:	90                   	nop
  401549:	90                   	nop
  40154a:	90                   	nop
  40154b:	90                   	nop
  40154c:	90                   	nop
  40154d:	90                   	nop
  40154e:	90                   	nop
  40154f:	90                   	nop

0000000000401550 <fail>:
  401550:	55                   	push   %rbp
  401551:	48 89 e5             	mov    %rsp,%rbp
  401554:	48 83 ec 30          	sub    $0x30,%rsp
  401558:	48 c7 45 f6 00 00 00 	movq   $0x0,-0xa(%rbp)
  40155f:	00 
  401560:	66 c7 45 fe 00 00    	movw   $0x0,-0x2(%rbp)
  401566:	48 8d 45 f6          	lea    -0xa(%rbp),%rax
  40156a:	48 89 c2             	mov    %rax,%rdx
  40156d:	48 8d 0d 8c 2a 00 00 	lea    0x2a8c(%rip),%rcx        # 404000 <.rdata>
  401574:	e8 5f 15 00 00       	callq  402ad8 <scanf>
  401579:	48 8d 45 f6          	lea    -0xa(%rbp),%rax
  40157d:	48 89 c2             	mov    %rax,%rdx
  401580:	48 8d 0d 7c 2a 00 00 	lea    0x2a7c(%rip),%rcx        # 404003 <.rdata+0x3>
  401587:	e8 5c 15 00 00       	callq  402ae8 <printf>
  40158c:	90                   	nop
  40158d:	48 83 c4 30          	add    $0x30,%rsp
  401591:	5d                   	pop    %rbp
  401592:	c3                   	retq   

0000000000401593 <target>:
  401593:	55                   	push   %rbp
  401594:	48 89 e5             	mov    %rsp,%rbp
  401597:	48 83 ec 20          	sub    $0x20,%rsp
  40159b:	48 8d 0d 6d 2a 00 00 	lea    0x2a6d(%rip),%rcx        # 40400f <.rdata+0xf>
  4015a2:	e8 39 15 00 00       	callq  402ae0 <puts>
  4015a7:	90                   	nop
  4015a8:	48 83 c4 20          	add    $0x20,%rsp
  4015ac:	5d                   	pop    %rbp
  4015ad:	c3                   	retq   

00000000004015ae <main>:
  4015ae:	55                   	push   %rbp
  4015af:	48 89 e5             	mov    %rsp,%rbp
  4015b2:	48 83 ec 20          	sub    $0x20,%rsp
  4015b6:	89 4d 10             	mov    %ecx,0x10(%rbp)
  4015b9:	48 89 55 18          	mov    %rdx,0x18(%rbp)
  4015bd:	e8 de 00 00 00       	callq  4016a0 <__main>
  4015c2:	b9 01 00 00 00       	mov    $0x1,%ecx
  4015c7:	48 8b 05 a2 1a 00 00 	mov    0x1aa2(%rip),%rax        # 403070 <__imp___acrt_iob_func>
  4015ce:	ff d0                	callq  *%rax
  4015d0:	ba 00 00 00 00       	mov    $0x0,%edx
  4015d5:	48 89 c1             	mov    %rax,%rcx
  4015d8:	e8 f3 14 00 00       	callq  402ad0 <setbuf>
  4015dd:	e8 6e ff ff ff       	callq  401550 <fail>
  4015e2:	b8 00 00 00 00       	mov    $0x0,%eax
  4015e7:	48 83 c4 20          	add    $0x20,%rsp
  4015eb:	5d                   	pop    %rbp
  4015ec:	c3                   	retq   
  4015ed:	90                   	nop
  4015ee:	90                   	nop
  4015ef:	90                   	nop

00000000004015f0 <__do_global_dtors>:
  4015f0:	48 83 ec 28          	sub    $0x28,%rsp
  4015f4:	48 8b 05 15 1a 00 00 	mov    0x1a15(%rip),%rax        # 403010 <p.93860>
  4015fb:	48 8b 00             	mov    (%rax),%rax
  4015fe:	48 85 c0             	test   %rax,%rax
  401601:	74 1d                	je     401620 <__do_global_dtors+0x30>
  401603:	ff d0                	callq  *%rax
  401605:	48 8b 05 04 1a 00 00 	mov    0x1a04(%rip),%rax        # 403010 <p.93860>
  40160c:	48 8d 50 08          	lea    0x8(%rax),%rdx
  401610:	48 8b 40 08          	mov    0x8(%rax),%rax
  401614:	48 89 15 f5 19 00 00 	mov    %rdx,0x19f5(%rip)        # 403010 <p.93860>
  40161b:	48 85 c0             	test   %rax,%rax
  40161e:	75 e3                	jne    401603 <__do_global_dtors+0x13>
  401620:	48 83 c4 28          	add    $0x28,%rsp
  401624:	c3                   	retq   
  401625:	90                   	nop
  401626:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  40162d:	00 00 00 

0000000000401630 <__do_global_ctors>:
  401630:	56                   	push   %rsi
  401631:	53                   	push   %rbx
  401632:	48 83 ec 28          	sub    $0x28,%rsp
  401636:	48 8b 0d e3 2c 00 00 	mov    0x2ce3(%rip),%rcx        # 404320 <.refptr.__CTOR_LIST__>
  40163d:	48 8b 11             	mov    (%rcx),%rdx
  401640:	83 fa ff             	cmp    $0xffffffff,%edx
  401643:	89 d0                	mov    %edx,%eax
  401645:	74 39                	je     401680 <__do_global_ctors+0x50>
  401647:	85 c0                	test   %eax,%eax
  401649:	74 20                	je     40166b <__do_global_ctors+0x3b>
  40164b:	89 c2                	mov    %eax,%edx
  40164d:	83 e8 01             	sub    $0x1,%eax
