YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
2018,Bardwell Park,890,60,210,180,130,750,110,250,1340,1240,-33.931378,151.125379
2019,Bardwell Park,880,60,210,170,150,790,110,250,1350,1270,-33.931378,151.125379
Feb 2020,Bardwell Park,890,60,210,180,130,780,120,250,1350,1270,-33.931378,151.125379
May 2020,Bardwell Park,-,-,-,-,-,-,-,-,230,240,-33.931378,151.125379
Sep 2020,Bardwell Park,340,40,120,110,80,300,60,90,600,540,-33.931378,151.125379
2016,Bargo,-,-,-,-,-,-,-,-,70,70,-34.291004,150.580088
2017,Bargo,-,-,-,-,-,-,-,-,70,70,-34.291004,150.580088
2018,Bargo,-,-,-,-,-,-,-,-,70,80,-34.291004,150.580088
2019,Bargo,-,-,-,-,-,-,-,-,80,70,-34.291004,150.580088
Feb 2020,Bargo,-,-,-,-,-,-,-,-,80,70,-34.291004,150.580088
Sep 2020,Bargo,-,-,-,-,-,-,-,-,50,40,-34.291004,150.580088
2016,Bathurst,-,-,-,-,-,-,-,-,80,60,-33.425563,149.583353
2017,Bathurst,-,-,-,-,-,-,-,-,70,50,-33.425563,149.583353
2019,Bathurst,-,-,-,-,-,-,-,-,70,40,-33.425563,149.583353
2016,Beecroft,1410,170,330,260,260,1160,70,390,2070,1980,-33.749165,151.066432
2017,Beecroft,1460,190,340,290,340,1220,90,420,2230,2120,-33.749165,151.066432
2018,Beecroft,1630,190,370,320,340,1330,100,430,2440,2270,-33.749165,151.066432
2019,Beecroft,1570,320,320,280,470,1350,120,390,2480,2340,-33.749165,151.066432
Feb 2020,Beecroft,1150,180,260,280,330,990,100,320,1840,1770,-33.749165,151.066432
May 2020,Beecroft,-,-,-,-,-,-,-,-,250,250,-33.749165,151.066432
Sep 2020,Beecroft,410,130,170,160,180,400,50,90,810,780,-33.749165,151.066432
2016,Bellambi,-,-,-,-,-,-,-,-,120,120,-34.362613,150.910131
2017,Bellambi,-,-,-,-,-,-,-,-,120,110,-34.362613,150.910131
2018,Bellambi,-,-,-,-,-,-,-,-,140,120,-34.362613,150.910131
2019,Bellambi,-,-,-,-,-,-,-,-,160,110,-34.362613,150.910131
Feb 2020,Bellambi,-,-,-,-,-,-,-,-,130,130,-34.362613,150.910131
May 2020,Bellambi,-,-,-,-,-,-,-,-,40,40,-34.362613,150.910131
Sep 2020,Bellambi,-,-,-,-,-,-,-,-,80,60,-34.362613,150.910131
2016,Belmore,1480,330,660,460,420,1280,260,600,2820,2670,-33.917238,151.088331
2017,Belmore,1650,300,660,500,490,1440,290,550,3090,2790,-33.917238,151.088331
2018,Belmore,1640,260,610,480,430,1410,360,640,3040,2790,-33.917238,151.088331
2019,Belmore,1640,260,640,490,480,1390,330,680,3090,2820,-33.917238,151.088331
Feb 2020,Belmore,1550,240,560,460,420,1320,350,530,2880,2550,-33.917238,151.088331
May 2020,Belmore,390,100,260,200,160,420,170,140,980,860,-33.917238,151.088331
Sep 2020,Belmore,730,180,380,320,260,670,230,320,1600,1490,-33.917238,151.088331
2016,Berala,1080,110,380,290,210,1000,190,390,1860,1790,-33.871686,151.032578
2017,Berala,1120,110,370,270,220,1070,220,380,1930,1830,-33.871686,151.032578
2018,Berala,1230,120,460,370,270,1220,280,470,2240,2180,-33.871686,151.032578
2019,Berala,1250,130,470,400,320,1240,290,510,2330,2280,-33.871686,151.032578
Feb 2020,Berala,1110,120,440,370,290,1120,290,530,2130,2140,-33.871686,151.032578
May 2020,Berala,320,60,220,190,120,440,170,130,830,820,-33.871686,151.032578
Sep 2020,Berala,610,90,330,280,190,650,210,180,1340,1200,-33.871686,151.032578
2016,Beresfield,-,-,-,-,-,-,-,-,170,150,-32.799487,151.658358
2017,Beresfield,-,-,-,-,-,-,-,-,200,180,-32.799487,151.658358
2018,Beresfield,-,-,-,-,-,-,-,-,200,200,-32.799487,151.658358
2019,Beresfield,-,-,-,-,-,-,-,-,200,180,-32.799487,151.658358
Feb 2020,Beresfield,-,-,-,-,-,-,-,-,190,180,-32.799487,151.658358
May 2020,Beresfield,-,-,-,-,-,-,-,-,70,60,-32.799487,151.658358
2016,Berowra,1250,70,140,130,110,1000,90,250,1590,1450,-33.622958,151.153353
2017,Berowra,1350,100,160,170,130,1080,80,270,1720,1620,-33.622958,151.153353
2018,Berowra,1320,90,150,140,140,1090,90,250,1700,1570,-33.622958,151.153353
2019,Berowra,1320,110,170,150,140,1090,100,230,1730,1580,-33.622958,151.153353
Feb 2020,Berowra,1360,100,180,160,140,1160,90,250,1770,1670,-33.622958,151.153353
May 2020,Berowra,-,-,-,-,-,-,-,-,250,240,-33.622958,151.153353
Sep 2020,Berowra,460,80,100,90,110,430,40,80,710,680,-33.622958,151.153353
2016,Berry,-,-,-,-,-,-,-,-,70,70,-34.780273,150.696723
2017,Berry,-,-,-,-,-,-,-,-,80,70,-34.780273,150.696723
2018,Berry,-,-,-,-,-,-,-,-,80,80,-34.780273,150.696723
2019,Berry,-,-,-,-,-,-,-,-,80,80,-34.780273,150.696723
Feb 2020,Berry,-,-,-,-,-,-,-,-,70,70,-34.780273,150.696723
Sep 2020,Berry,-,-,-,-,-,-,-,-,40,50,-34.780273,150.696723
2016,Beverly Hills,1450,260,410,230,340,1180,170,500,2370,2170,-33.949178,151.080725
2017,Beverly Hills,1530,240,430,280,360,1240,180,520,2500,2280,-33.949178,151.080725
2018,Beverly Hills,1490,230,440,240,320,1250,210,570,2460,2290,-33.949178,151.080725
2019,Beverly Hills,1490,230,420,270,340,1210,220,560,2470,2270,-33.949178,151.080725
Feb 2020,Beverly Hills,1390,230,360,220,330,1160,250,550,2330,2160,-33.949178,151.080725
May 2020,Beverly Hills,230,50,120,100,80,250,90,60,520,460,-33.949178,151.080725
Sep 2020,Beverly Hills,550,100,240,140,180,520,140,220,1110,980,-33.949178,151.080725
2016,Bexley North,840,60,190,140,120,660,80,250,1230,1110,-33.937481,151.113926
2017,Bexley North,880,70,220,150,130,730,100,290,1330,1240,-33.937481,151.113926
2018,Bexley North,900,70,220,150,140,740,110,310,1370,1270,-33.937481,151.113926
2019,Bexley North,860,80,220,160,160,720,120,300,1360,1260,-33.937481,151.113926
Feb 2020,Bexley North,840,80,210,150,160,730,150,310,1360,1270,-33.937481,151.113926
May 2020,Bexley North,150,40,70,50,50,150,50,40,320,280,-33.937481,151.113926
Sep 2020,Bexley North,340,60,140,110,90,300,90,130,660,600,-33.937481,151.113926
2016,Birrong,680,120,250,150,130,530,60,210,1120,1010,-33.892536,151.024313
2017,Birrong,730,140,270,140,140,570,60,200,1200,1050,-33.892536,151.024313
2018,Birrong,770,110,290,160,120,660,90,220,1270,1150,-33.892536,151.024313
2019,Birrong,830,130,270,180,130,680,100,240,1330,1230,-33.892536,151.024313
Feb 2020,Birrong,770,120,270,160,140,660,110,250,1290,1190,-33.892536,151.024313
May 2020,Birrong,-,-,-,-,-,-,-,-,300,300,-33.892536,151.024313
Sep 2020,Birrong,280,80,150,90,70,290,70,80,570,540,-33.892536,151.024313
2016,Blackheath,-,-,-,-,-,-,-,-,250,210,-33.633989,150.284422
2017,Blackheath,-,-,-,-,-,-,-,-,260,250,-33.633989,150.284422
2018,Blackheath,-,-,-,-,-,-,-,-,280,270,-33.633989,150.284422
2019,Blackheath,-,-,-,-,-,-,-,-,120,90,-33.633989,150.284422
May 2020,Blackheath,-,-,-,-,-,-,-,-,60,60,-33.633989,150.284422
Sep 2020,Blackheath,-,-,-,-,-,-,-,-,140,130,-33.633989,150.284422
2016,Blacktown,7040,3380,3630,3290,4070,7970,1900,2720,16640,17360,-33.768304,150.907411
2017,Blacktown,7740,3660,3890,3610,4480,8770,2030,2810,18140,18850,-33.768304,150.907411
2018,Blacktown,7270,3670,3870,3490,4140,8060,1990,2710,17270,17930,-33.768304,150.907411
2019,Blacktown,7440,3900,4170,3760,4460,8350,2190,3010,18260,19020,-33.768304,150.907411
Feb 2020,Blacktown,6920,3750,3830,3550,4130,7740,2230,2850,17110,17890,-33.768304,150.907411
May 2020,Blacktown,1560,1230,1460,1480,1550,2170,930,840,5500,5720,-33.768304,150.907411
Sep 2020,Blacktown,3270,2640,2710,2510,2880,4010,1460,1530,10320,10690,-33.768304,150.907411
2016,Blaxland,500,40,90,90,80,460,80,130,750,720,-33.743866,150.609634
2017,Blaxland,550,40,100,100,80,470,90,130,820,740,-33.743866,150.609634
2018,Blaxland,540,50,90,110,80,460,100,130,810,750,-33.743866,150.609634
2019,Blaxland,500,50,90,100,80,430,100,120,770,700,-33.743866,150.609634
Feb 2020,Blaxland,490,40,80,90,80,420,90,120,740,670,-33.743866,150.609634
May 2020,Blaxland,-,-,-,-,-,-,-,-,130,130,-33.743866,150.609634
Sep 2020,Blaxland,160,40,50,40,50,150,40,50,300,280,-33.743866,150.609634
2016,Bomaderry,-,-,-,-,-,-,-,-,340,280,-34.853745,150.609770
2017,Bomaderry,-,-,-,-,-,-,-,-,370,300,-34.853745,150.609770
2018,Bomaderry,-,-,-,-,-,-,-,-,360,330,-34.853745,150.609770
2019,Bomaderry,-,-,-,-,-,-,-,-,370,310,-34.853745,150.609770
Feb 2020,Bomaderry,-,-,-,-,-,-,-,-,320,260,-34.853745,150.609770
May 2020,Bomaderry,-,-,-,-,-,-,-,-,70,60,-34.853745,150.609770
Sep 2020,Bomaderry,-,-,-,-,-,-,-,-,130,120,-34.853745,150.609770
2016,Bondi Junction,11530,5500,4510,4730,6780,10710,2750,4300,25570,25240,-33.891298,151.248390
2017,Bondi Junction,12650,5620,4850,5230,7090,11910,2980,4610,27570,27370,-33.891298,151.248390
2018,Bondi Junction,13170,5780,4810,5210,7380,12140,3060,4440,28420,27570,-33.891298,151.248390
2019,Bondi Junction,13110,5780,4990,5530,7770,12420,3030,4340,28900,28070,-33.891298,151.248390
Feb 2020,Bondi Junction,13150,6140,5110,6160,8510,12820,3750,4440,30520,29560,-33.891298,151.248390
May 2020,Bondi Junction,1700,2170,1610,1780,2360,2360,1020,610,6690,6920,-33.891298,151.248390
Sep 2020,Bondi Junction,4700,4170,2940,3520,4980,5280,2030,1760,14650,14730,-33.891298,151.248390
2016,Booragul,-,-,-,-,-,-,-,-,50,60,-32.971800,151.604979
2017,Booragul,-,-,-,-,-,-,-,-,50,50,-32.971800,151.604979
Feb 2020,Booragul,-,-,-,-,-,-,-,-,60,50,-32.971800,151.604979
2016,Bowral,-,-,-,-,-,-,-,-,270,220,-34.478141,150.416620
2017,Bowral,-,-,-,-,-,-,-,-,260,220,-34.478141,150.416620
2018,Bowral,130,40,70,70,60,90,40,40,300,240,-34.478141,150.416620
2019,Bowral,-,-,-,-,-,-,-,-,290,240,-34.478141,150.416620
Feb 2020,Bowral,-,-,-,-,-,-,-,-,260,250,-34.478141,150.416620
May 2020,Bowral,-,-,-,-,-,-,-,-,60,50,-34.478141,150.416620
Sep 2020,Bowral,-,-,-,-,-,-,-,-,130,130,-34.478141,150.416620
2016,Broadmeadow,300,120,190,150,170,240,110,160,770,670,-32.922529,151.735162
2017,Broadmeadow,330,160,230,170,200,310,130,160,890,800,-32.922529,151.735162
2018,Broadmeadow,330,150,230,170,170,320,150,150,880,790,-32.922529,151.735162
2019,Broadmeadow,340,140,220,190,190,310,170,180,920,820,-32.922529,151.735162
Feb 2020,Broadmeadow,360,140,220,190,170,300,140,200,890,830,-32.922529,151.735162
May 2020,Broadmeadow,-,-,-,-,-,-,-,-,140,140,-32.922529,151.735162
Sep 2020,Broadmeadow,100,80,100,60,90,100,50,50,340,290,-32.922529,151.735162
2016,Bullaburra,-,-,-,-,-,-,-,-,80,60,-33.723344,150.415095
2017,Bullaburra,-,-,-,-,-,-,-,-,100,70,-33.723344,150.415095
2018,Bullaburra,-,-,-,-,-,-,-,-,80,70,-33.723344,150.415095
2019,Bullaburra,-,-,-,-,-,-,-,-,80,80,-33.723344,150.415095
2016,Bulli,-,-,-,-,-,-,-,-,180,160,-34.334073,150.914901
2017,Bulli,-,-,-,-,-,-,-,-,230,200,-34.334073,150.914901
2018,Bulli,-,-,-,-,-,-,-,-,240,170,-34.334073,150.914901
2019,Bulli,-,-,-,-,-,-,-,-,240,200,-34.334073,150.914901
Feb 2020,Bulli,-,-,-,-,-,-,-,-,240,210,-34.334073,150.914901
May 2020,Bulli,-,-,-,-,-,-,-,-,50,40,-34.334073,150.914901
Sep 2020,Bulli,-,-,-,-,-,-,-,-,120,90,-34.334073,150.914901
2016,Burwood,6120,3470,4340,3630,4730,6840,1830,3480,17020,17420,-33.877117,151.103839
2017,Burwood,6640,4010,4800,4120,5550,7700,2140,3760,19130,19590,-33.877117,151.103839
2018,Burwood,6390,4170,5140,4460,5710,7910,2530,3870,19770,20410,-33.877117,151.103839
2019,Burwood,6140,4260,5130,4750,6130,8070,2800,3970,20200,21050,-33.877117,151.103839
Feb 2020,Burwood,5580,4060,4190,3970,5640,7180,2700,3460,18110,18670,-33.877117,151.103839
May 2020,Burwood,1320,1170,1620,1680,1780,1980,830,810,5550,5640,-33.877117,151.103839
Sep 2020,Burwood,2860,2160,2940,2970,3310,4130,1780,2050,10890,11310,-33.877117,151.103839
2016,Cabramatta,4010,890,2170,1860,1270,3600,750,1630,8200,7980,-33.894818,150.938872
2017,Cabramatta,4290,870,2330,2120,1400,4000,840,1620,8860,8610,-33.894818,150.938872
2018,Cabramatta,4310,1010,2390,2250,1490,3930,1010,1680,9200,8870,-33.894818,150.938872
2019,Cabramatta,4150,1130,2520,2360,1630,4000,1070,1620,9370,9110,-33.894818,150.938872
Feb 2020,Cabramatta,3810,1020,2110,1960,1450,3670,1010,1540,8380,8190,-33.894818,150.938872
May 2020,Cabramatta,790,410,960,1010,660,1260,500,330,2910,3010,-33.894818,150.938872
Sep 2020,Cabramatta,1700,740,1440,1440,1030,1860,720,720,4890,4760,-33.894818,150.938872
2016,Camellia,-,-,-,-,-,-,-,-,90,110,-33.819181,151.024141
2017,Camellia,-,-,-,-,-,-,-,-,90,100,-33.819181,151.024141
2018,Camellia,-,-,-,-,-,-,-,-,60,80,-33.819181,151.024141
2019,Camellia,-,-,-,-,-,-,-,-,160,170,-33.819181,151.024141
Feb 2020,Camellia,-,-,-,-,-,-,-,-,210,90,-33.819181,151.024141
Sep 2020,Camellia,-,-,-,-,-,-,-,-,80,60,-33.819181,151.024141
2016,Campbelltown,3050,860,880,890,860,2970,910,990,5700,5710,-34.063530,150.814504
2017,Campbelltown,3240,920,890,920,910,3160,1010,980,6050,5980,-34.063530,150.814504
2018,Campbelltown,3300,930,950,1020,970,3390,1210,1010,6430,6350,-34.063530,150.814504
2019,Campbelltown,3390,990,990,1030,990,3470,1290,1050,6660,6540,-34.063530,150.814504
Feb 2020,Campbelltown,3510,980,960,990,990,3430,1290,1240,6750,6640,-34.063530,150.814504
May 2020,Campbelltown,700,350,440,400,350,1050,640,290,2130,2090,-34.063530,150.814504
Sep 2020,Campbelltown,1560,670,660,680,660,1760,800,540,3680,3650,-34.063530,150.814504
2016,Campsie,3560,900,2080,1530,1350,3410,800,1820,7790,7660,-33.910444,151.103566
2017,Campsie,4040,970,2190,1740,1520,3810,790,1690,8540,8210,-33.910444,151.103566
2018,Campsie,4170,910,2220,1780,1600,4170,1180,2220,9170,9080,-33.910444,151.103566
2019,Campsie,4160,960,2370,1920,1670,4290,1260,2280,9460,9450,-33.910444,151.103566
Feb 2020,Campsie,3910,910,1970,1770,1490,3870,1140,1560,8510,8110,-33.910444,151.103566
May 2020,Campsie,1120,420,960,910,720,1520,630,590,3430,3440,-33.910444,151.103566
Sep 2020,Campsie,2150,690,1420,1270,1070,2460,960,1220,5600,5640,-33.910444,151.103566
2016,Canley Vale,1680,160,580,390,250,1340,280,740,2790,2630,-33.887372,150.943555
2017,Canley Vale,1580,160,590,400,320,1370,320,700,2810,2630,-33.887372,150.943555
2018,Canley Vale,1680,200,620,410,360,1420,310,730,2970,2760,-33.887372,150.943555
2019,Canley Vale,1690,210,570,410,410,1490,370,710,3040,2820,-33.887372,150.943555
Feb 2020,Canley Vale,1590,200,500,370,360,1370,370,710,2820,2650,-33.887372,150.943555
May 2020,Canley Vale,260,60,150,100,70,230,180,80,660,470,-33.887372,150.943555
Sep 2020,Canley Vale,650,140,340,280,220,620,230,290,1440,1330,-33.887372,150.943555
2016,Canterbury,1110,280,580,290,420,880,180,570,2290,2020,-33.912116,151.119014
2017,Canterbury,1460,330,670,360,510,1130,240,660,2880,2480,-33.912116,151.119014
2018,Canterbury,1610,300,750,360,540,1380,320,890,3220,2930,-33.912116,151.119014
2019,Canterbury,1730,320,760,410,610,1470,360,940,3460,3140,-33.912116,151.119014
Feb 2020,Canterbury,1690,300,700,350,510,1360,310,740,3210,2750,-33.912116,151.119014
May 2020,Canterbury,350,90,260,200,180,450,190,150,980,890,-33.912116,151.119014
Sep 2020,Canterbury,790,190,450,270,340,760,250,410,1830,1630,-33.912116,151.119014
2016,Cardiff,280,70,120,120,90,250,110,140,600,580,-32.941382,151.662459
2017,Cardiff,320,70,120,130,100,250,120,140,660,590,-32.941382,151.662459
2018,Cardiff,370,90,160,160,140,310,150,150,820,710,-32.941382,151.662459
2019,Cardiff,370,90,180,170,120,350,150,160,820,770,-32.941382,151.662459
Feb 2020,Cardiff,390,90,180,170,120,360,160,170,850,790,-32.941382,151.662459
May 2020,Cardiff,-,-,-,-,-,-,-,-,160,140,-32.941382,151.662459
Sep 2020,Cardiff,150,60,80,80,70,130,40,40,340,310,-32.941382,151.662459
2016,Caringbah,1590,630,550,420,670,1330,200,470,3010,2850,-34.041602,151.121885
2017,Caringbah,1590,650,520,440,720,1450,240,460,3070,3000,-34.041602,151.121885
2018,Caringbah,1770,690,570,470,760,1550,260,480,3360,3190,-34.041602,151.121885
2019,Caringbah,1780,720,610,560,820,1540,260,450,3470,3270,-34.041602,151.121885
Feb 2020,Caringbah,1840,700,600,490,820,1490,290,570,3550,3250,-34.041602,151.121885
May 2020,Caringbah,250,200,190,190,210,310,110,70,760,770,-34.041602,151.121885
Sep 2020,Caringbah,660,490,420,380,520,650,200,190,1800,1710,-34.041602,151.121885
2016,Carlingford,-,-,-,-,-,-,-,-,390,310,-33.782585,151.046782
2017,Carlingford,-,-,-,-,-,-,-,-,430,300,-33.782585,151.046782
2018,Carlingford,-,-,-,-,-,-,-,-,430,330,-33.782585,151.046782
2019,Carlingford,-,-,-,-,-,-,-,-,530,430,-33.782585,151.046782
Feb 2020,Carlingford,-,-,-,-,-,-,-,-,150,110,-33.782585,151.046782
Sep 2020,Carlingford,-,-,-,-,-,-,-,-,70,60,-33.782585,151.046782
2016,Carlton,1850,140,490,360,300,1440,230,720,2870,2660,-33.968195,151.124338
2017,Carlton,2000,150,580,390,340,1600,240,750,3160,2890,-33.968195,151.124338
2018,Carlton,2050,190,610,400,400,1610,250,830,3310,3030,-33.968195,151.124338
2019,Carlton,1990,170,630,420,400,1740,440,880,3460,3210,-33.968195,151.124338
Feb 2020,Carlton,2110,160,540,420,390,1670,320,860,3360,3110,-33.968195,151.124338
May 2020,Carlton,410,90,240,210,170,450,140,190,960,940,-33.968195,151.124338
Sep 2020,Carlton,880,120,400,300,240,820,190,380,1710,1620,-33.968195,151.124338
2016,Carramar,250,50,130,110,80,210,50,80,510,450,-33.884542,150.960647
2017,Carramar,280,60,130,110,80,250,60,80,550,500,-33.884542,150.960647
2018,Carramar,310,60,150,110,90,270,80,100,630,540,-33.884542,150.960647
2019,Carramar,290,50,160,120,90,250,70,100,610,520,-33.884542,150.960647
Feb 2020,Carramar,280,60,150,110,90,250,80,100,600,520,-33.884542,150.960647
May 2020,Carramar,-,-,-,-,-,-,-,-,280,260,-33.884542,150.960647
Sep 2020,Carramar,170,60,120,80,70,160,60,40,420,340,-33.884542,150.960647
2016,Casula,-,-,-,-,-,-,-,-,340,300,-33.950257,150.911868
2017,Casula,-,-,-,-,-,-,-,-,350,300,-33.950257,150.911868
2018,Casula,230,40,80,70,50,180,60,60,420,350,-33.950257,150.911868
2019,Casula,230,40,110,50,80,210,70,70,490,370,-33.950257,150.911868
Feb 2020,Casula,240,70,100,50,110,230,70,70,520,420,-33.950257,150.911868
May 2020,Casula,-,-,-,-,-,-,-,-,170,140,-33.950257,150.911868
Sep 2020,Casula,100,40,70,40,70,120,60,40,300,240,-33.950257,150.911868
2016,Central,13200,51650,21590,29370,53100,21050,20930,8190,108820,110260,-33.883516,151.206745
2017,Central,14570,57260,23620,31530,58360,22430,22410,8980,118960,120200,-33.883516,151.206745
